;d;d;d;d;d;;;renewable;renewable;renewable;renewable;renewable;;;
h7758;49804;50063;53819;52260;41607;;h7758;0,050026566;0,049963229;0,003557794;0,22697475;0,265247504;;;
h7759;58988;57160;62335;60548;41491;;h7759;0,048797901;0,043134371;0,002805183;0,225603829;0,295499294;;;
h7760;66644;63531;69330;67802;43929;;h7760;0,050142791;0,035014783;0,004707235;0,211745058;0,322577656;;;
h7761;68551;65458;71105;69832;47506;;h7761;0,05329747;0,037536208;0,012288072;0,199967596;0,359176299;;;
h7762;68929;65696;71424;69927;50689;;h7762;0,066381085;0,054270663;0,031308584;0,198260176;0,400002316;;;
h7763;70025;66930;72179;70591;53221;;h7763;0,07894999;0,078644434;0,052846919;0,197973529;0,439635403;;;
h7764;71118;68209;73034;71959;56282;;h7764;0,086986119;0,092947515;0,066216013;0,195966998;0,470396794;;;
h7765;70246;67668;72467;71272;56424;;h7765;0,080195258;0,094808567;0,066749682;0,178556295;0,475041116;;;
h7766;69822;67251;72091;70006;54159;;h7766;0,073686657;0,085128097;0,050985919;0,153393654;0,461084988;;;
h7767;69258;66349;71266;68224;52738;;h7767;0,061300392;0,066097345;0,0303644;0,133191256;0,436172431;;;
h7768;69003;66271;71121;67678;52711;;h7768;0,047519426;0,045580753;0,012835425;0,109424462;0,400222371;;;
h7769;70118;66803;72220;68678;55206;;h7769;0,046074915;0,038346666;0,007731359;0,09564047;0,381946214;;;
h7770;72778;69171;75045;70385;59618;;h7770;0,059075513;0,041918684;0,00755347;0,096637503;0,375008686;;;
h7771;71965;68468;74066;69013;60673;;h7771;0,063956964;0,047456813;0,008374499;0,101647598;0,36613699;;;
h7772;69830;66896;71765;66716;59301;;h7772;0,062213588;0,050413484;0,008675543;0,107255914;0,35066364;;;
h7773;65836;62730;67517;62475;56625;;h7773;0,064239224;0,052874874;0,01045444;0,112926544;0,328959255;;;
h7774;61915;59236;63513;59047;53558;;h7774;0,060287574;0,051704213;0,013711189;0,113861263;0,301672419;;;
h7775;57928;56424;60079;56406;52290;;h7775;0,055406123;0,046766423;0,016270064;0,118397767;0,280396563;;;
h7776;52692;52100;55432;52082;48667;;h7776;0,053314073;0,044965405;0,017788968;0,121164536;0,268536749;;;
h7777;48884;48767;51606;48350;45276;;h7777;0,050080507;0,044447779;0,015796384;0,127045452;0,250214234;;;
h7778;46919;46771;49393;45960;43372;;h7778;0,050196703;0,045288115;0,016247709;0,13009883;0,237012761;;;
h7779;46163;46080;48760;45081;42303;;h7779;0,048071975;0,048859544;0,017902568;0,126197984;0,219735044;;;
h7780;46381;46707;49166;44871;43035;;h7780;0,044652491;0,047028812;0,019147132;0,123792669;0,19872849;;;
h7781;47500;47973;50949;45356;45252;;h7781;0,044785286;0,04020108;0,021007139;0,118495993;0,182759339;;;
h7782;50386;51163;54630;45412;50050;;h7782;0,051292266;0,036914766;0,022593616;0,113760142;0,171387544;;;
h7783;58410;59251;62783;46620;59965;;h7783;0,052985409;0,035504202;0,02348259;0,115579706;0,176563911;;;
h7784;65730;65688;69710;50275;67827;;h7784;0,056819879;0,033658463;0,022976558;0,116963073;0,186569238;;;
h7785;68034;67487;71508;53904;70059;;h7785;0,072688943;0,036344538;0,03079953;0,116738743;0,204703893;;;
h7786;68102;67550;71467;57096;70522;;h7786;0,100194213;0,051605642;0,058576547;0,137850671;0,234302985;;;
h7787;69164;68224;72190;59000;71247;;h7787;0,134256262;0,065456182;0,084288411;0,15878812;0,247342335;;;
h7788;70470;68805;72667;59850;72143;;h7788;0,166957157;0,069687875;0,09986597;0,162813594;0,244945225;;;
h7789;69541;68307;71362;58790;71797;;h7789;0,178277974;0,071728691;0,099907;0,148568651;0,222699585;;;
h7790;69002;67930;70094;57111;70759;;h7790;0,169413874;0,067962185;0,085081649;0,127257319;0,189209533;;;
h7791;67698;67510;68760;55524;69589;;h7791;0,144166127;0,056557623;0,060614349;0,104737098;0,165655326;;;
h7792;66854;67107;68420;55738;68669;;h7792;0,117557227;0,043247299;0,034601603;0,085232867;0,165435301;;;
h7793;67892;67760;70185;57794;69658;;h7793;0,113390767;0,04035114;0,02505539;0,080297611;0,186916645;;;
h7794;71030;69692;73541;60934;72735;;h7794;0,130521388;0,043667467;0,031401297;0,088473186;0,218044329;;;
h7795;70702;69143;72390;60576;72211;;h7795;0,140796441;0,049429772;0,035217046;0,088834607;0,229462445;;;
h7796;68485;67168;69656;58288;70764;;h7796;0,144182727;0,053016206;0,040318389;0,097533618;0,227447484;;;
h7797;64167;63048;65040;54910;66276;;h7797;0,143668144;0,058643457;0,043874285;0,103515747;0,215542997;;;
h7798;59979;59994;61570;52358;62032;;h7798;0,142356788;0,055477191;0,045871058;0,10506113;0,204356486;;;
h7799;56842;56991;58746;51129;58758;;h7799;0,144564514;0,05045018;0,044913701;0,108849811;0,196053454;;;
h7800;52209;52405;54317;47838;53645;;h7800;0,157047292;0,052310924;0,04751224;0,113623051;0,196215578;;;
h7801;48866;48964;50532;44725;49559;;h7801;0,161209569;0,053960396;0,05096543;0,115873036;0,20135689;;;
h7802;47187;46971;48259;42603;47896;;h7802;0,170195129;0,054740474;0,054479816;0,128110863;0,19737421;;;
h7803;45836;45918;47040;41976;46920;;h7803;0,16154114;0,057725773;0,059744557;0,131326097;0,18390951;;;
h7804;46102;46480;46861;41848;47143;;h7804;0,163397934;0,060846085;0,058992452;0,134803036;0,177866024;;;
h7805;47335;47718;47193;41773;48403;;h7805;0,164226861;0,06489649;0,057597637;0,14063532;0,179868942;;;
h7806;50198;50873;47416;41487;52649;;h7806;0,156318904;0,068706871;0,057953178;0,144187032;0,172343529;;;
h7807;58299;58498;48896;41183;61455;;h7807;0,146056798;0,069366937;0,066089596;0,151452463;0,167284136;;;
h7808;65961;65091;52602;43095;68333;;h7808;0,140585885;0,066036604;0,068879225;0,156325162;0,164146618;;;
h7809;67137;67255;56124;46703;70423;;h7809;0,12896434;0,069051905;0,081569303;0,167541094;0,169240744;;;
h7810;66565;67917;58831;50380;68508;;h7810;0,139773537;0,072547255;0,111886008;0,182346124;0,177947067;;;
h7811;67456;68815;60381;52357;70749;;h7811;0,16389529;0,079057906;0,14883492;0,195718007;0,183666381;;;
h7812;68308;69323;60961;54258;72125;;h7812;0,17995988;0,084188419;0,17164424;0,207457348;0,176337787;;;
h7813;67911;68404;60100;53964;71146;;h7813;0,182844543;0,083273327;0,179684936;0,219146841;0,15560238;;;
h7814;67819;67422;57992;52606;70160;;h7814;0,169863559;0,078772877;0,164711191;0,220131351;0,128823489;;;
h7815;66875;66364;56056;51713;68349;;h7815;0,13244583;0,070417042;0,129854502;0,21019902;0,1007016;;;
h7816;66610;65757;55943;51572;67538;;h7816;0,084964936;0,061671167;0,089623674;0,185399349;0,076423461;;;
h7817;67752;66742;58557;53373;69141;;h7817;0,073989953;0,058370837;0,080953944;0,167491245;0,07571723;;;
h7818;70998;68201;63059;56978;71896;;h7818;0,090667949;0,056030603;0,089514276;0,166980297;0,083508926;;;
h7819;70226;66684;62834;57503;71307;;h7819;0,104776273;0,052565257;0,089213434;0,169908902;0,088938801;;;
h7820;68079;64272;60313;56383;69728;;h7820;0,111391104;0,04879988;0,092878241;0,170370001;0,090814365;;;
h7821;63840;59890;56421;53975;65233;;h7821;0,115668363;0,046549655;0,092509025;0,158817592;0,09022391;;;
h7822;60325;56690;53752;52435;61268;;h7822;0,116115983;0,041209121;0,095394377;0,151190758;0,081042906;;;
h7823;57223;54521;52223;51941;57719;;h7823;0,112319501;0,038958896;0,088543376;0,142517104;0,071201982;;;
h7824;52644;50542;48978;48658;52429;;h7824;0,109103268;0,036363636;0,084550377;0,134292088;0,066605692;;;
h7825;48831;47289;45447;45956;48830;;h7825;0,111860531;0,033601848;0,080489305;0,118558114;0,06084702;;;
h7826;47024;44957;43121;44166;47062;;h7826;0,115605787;0,032281775;0,076607668;0,106334729;0,050453141;;;
h7827;46196;43781;42034;43708;46280;;h7827;0,118522447;0,032431784;0,070580195;0,096005283;0,040464368;;;
h7828;46622;43673;41794;44185;47003;;h7828;0,127106707;0,034036872;0,066534545;0,089401415;0,032165469;;;
h7829;47256;43707;42006;46030;48353;;h7829;0,134448072;0,031231718;0,064949088;0,082859848;0,028357466;;;
h7830;49889;43559;41780;50466;52137;;h7830;0,145435262;0,030421673;0,059167635;0,07030004;0,028102828;;;
h7831;57566;44599;41575;59562;60153;;h7831;0,156024725;0,032221772;0,061627828;0,05661882;0,029410743;;;
h7832;64892;48250;43583;66286;66903;;h7832;0,159836269;0,031906755;0,074871865;0,04783443;0,031378404;;;
h7833;66754;51675;46872;68399;68768;;h7833;0,168669108;0,034636905;0,089756031;0,046700558;0,052015695;;;
h7834;67592;54721;50114;68711;68713;;h7834;0,184445586;0,039767187;0,125087132;0,059796152;0,080303714;;;
h7835;68362;56555;52640;69590;69401;;h7835;0,195250485;0,050147758;0,163889838;0,080156001;0,100871558;;;
h7836;69393;57292;55004;70081;69704;;h7836;0,193792155;0,060603333;0,183284357;0,096927333;0,107387988;;;
h7837;68885;56491;54303;69482;69068;;h7837;0,186964519;0,066078634;0,184022415;0,108328349;0,103522113;;;
h7838;67346;55045;52001;69152;68783;;h7838;0,162570638;0,063873513;0,167771475;0,108988736;0,089841082;;;
h7839;66054;54205;50459;68624;67920;;h7839;0,135177237;0,055668062;0,138413176;0,102447169;0,060789148;;;
h7840;65334;54018;50473;68610;67509;;h7840;0,106971811;0,046412553;0,115519716;0,083420554;0,033716448;;;
h7841;66484;55637;53463;69368;69042;;h7841;0,090018726;0,045662511;0,125647509;0,081451854;0,029538063;;;
h7842;68449;58517;58632;72413;71838;;h7842;0,08095388;0,048392662;0,145383722;0,095058313;0,038161047;;;
h7843;67276;57940;59615;72007;70910;;h7843;0,07623088;0,049412718;0,15940682;0,109948166;0,047547947;;;
h7844;64920;55423;57903;70574;69398;;h7844;0,073181645;0,047552615;0,162741748;0,117847887;0,055869995;;;
h7845;61136;51457;55101;67085;65215;;h7845;0,068491789;0,043112371;0,161661997;0,122258772;0,064400384;;;
h7846;57416;49389;53041;63099;61477;;h7846;0,059029216;0,04327738;0,159693843;0,122458134;0,072051113;;;
h7847;55126;48896;52290;60093;58469;;h7847;0,054687371;0,044777463;0,154882799;0,125847289;0,076472563;;;
h7848;50672;45808;48773;55644;53704;;h7848;0,04729629;0,045962528;0,145124035;0,130382775;0,08580159;;;
h7849;46493;42473;45582;52094;49522;;h7849;0,037252465;0,043442389;0,140913933;0,135339189;0,101968089;;;
h7850;44138;40600;43975;50520;47938;;h7850;0,030292485;0,045977529;0,137390402;0,142951473;0,117842391;;;
h7851;43217;39669;43401;49832;46967;;h7851;0,02687878;0,048227653;0,132255333;0,151996512;0,127052263;;;
h7852;43175;39327;44175;50423;47787;;h7852;0,02147651;0,049352714;0,126478381;0,164878839;0,128938204;;;
h7853;43611;39502;46234;52005;49257;;h7853;0,015394813;0,049622729;0,122900221;0,172839968;0,128429115;;;
h7854;43659;39160;50890;55283;52603;;h7854;0,012544536;0,054573002;0,117328125;0,179256214;0,125316734;;;
h7855;44599;38472;61003;63501;60749;;h7855;0,009975971;0,058338209;0,122599765;0,191092008;0,123442363;;;
h7856;48574;40170;68764;69690;68137;;h7856;0,008434833;0,072844006;0,116399443;0,193533919;0,126149788;;;
h7857;52567;43679;71019;71476;69596;;h7857;0,015543956;0,094220182;0,109407009;0,21108827;0,135891888;;;
h7858;55267;47030;71109;68921;69546;;h7858;0,039423316;0,111561136;0,107126274;0,245997633;0,147635632;;;
h7859;57165;49668;71890;72740;70950;;h7859;0,066070097;0,140497727;0,127994319;0,282588924;0,144928207;;;
h7860;58355;52721;72662;73637;70958;;h7860;0,090695169;0,165879123;0,140217421;0,309038809;0,153571139;;;
h7861;57825;52960;71901;73408;70650;;h7861;0,100174;0,183250079;0,152700008;0,321335576;0,150829004;;;
h7862;55691;51286;71332;73028;69723;;h7862;0,092335736;0,185650211;0,14135096;0,313698374;0,137766259;;;
h7863;54531;50206;70472;72565;68816;;h7863;0,062076394;0,165969128;0,11471962;0,289540896;0,11780768;;;
h7864;54635;50128;70250;72056;68441;;h7864;0,030143342;0,144052923;0,076001748;0,258817666;0,101111895;;;
h7865;56966;51675;71612;73533;69550;;h7865;0,022321651;0,129772137;0,066796864;0,252762723;0,107915167;;;
h7866;60201;54870;74809;76212;71766;;h7866;0,029198774;0,120561631;0,081478244;0,256712141;0,109407722;;;
h7867;59856;55696;74129;75349;71237;;h7867;0,038594747;0,113151223;0,093441862;0,251840777;0,129678696;;;
h7868;57074;54112;71959;73032;70536;;h7868;0,052696992;0,10382071;0,099177843;0,255752819;0,136169573;;;
h7869;52861;51802;67609;68901;65998;;h7869;0,06562267;0,092840106;0,097060993;0,249286738;0,135035694;;;
h7870;50096;50443;63448;64589;62023;;h7870;0,075913497;0,085504703;0,090874327;0,233526444;0,132617524;;;
h7871;49145;50880;59974;61558;59253;;h7871;0,081415196;0,086524759;0,079839393;0,221653274;0,123315091;;;
h7872;45746;48028;54894;56952;54601;;h7872;0,100339713;0,082354529;0,067179263;0,20824768;0,118015944;;;
h7873;42455;45483;51334;53467;50759;;h7873;0,115997746;0,079484103;0,058560896;0,191617885;0,112437397;;;
h7874;39918;44009;49300;51369;48358;;h7874;0,137125907;0,079244151;0,054683233;0,177170258;0,109464821;;;
h7875;38796;43456;48752;50198;47171;;h7875;0,156000398;0,078269346;0,049194429;0,157043218;0,107486959;;;
h7876;38322;43843;49204;50306;47844;;h7876;0,171974944;0,079484103;0,043487165;0,1414622;0,106978035;;;
h7877;38094;45532;50740;51797;49364;;h7877;0,190203162;0,082933413;0,033424358;0,127836592;0,10553223;;;
h7878;37222;49063;54342;54507;52559;;h7878;0,208116528;0,087462507;0,02635172;0,118395815;0,104178956;;;
h7879;36290;57215;63174;63136;60383;;h7879;0,227786432;0,080233953;0,027252867;0,111844563;0,103843529;;;
h7880;37954;64151;70110;69601;67265;;h7880;0,243661552;0,076304739;0,023825778;0,104894757;0,099263218;;;
h7881;41333;65615;72030;71642;69143;;h7881;0,263530309;0,086307738;0,029574003;0,101008843;0,097979342;;;
h7882;44692;65835;71892;72028;69283;;h7882;0,311271667;0,132813437;0,05558438;0,102416241;0,106596343;;;
h7883;47453;66922;72567;72782;70072;;h7883;0,353527989;0,170845831;0,082222829;0,107373272;0,121470789;;;
h7884;50910;67971;73262;72997;70422;;h7884;0,366851158;0,197180564;0,097569634;0,104247104;0,131302266;;;
h7885;50493;67532;72399;72249;70460;;h7885;0,375733271;0,197555489;0,103181322;0,09956408;0,128942711;;;
h7886;48117;67452;72017;71891;69168;;h7886;0,371076791;0,177714457;0,085649918;0,089948935;0,11258776;;;
h7887;45909;66796;71356;70893;67442;;h7887;0,339525404;0,139097181;0,060199345;0,075476398;0,085279387;;;
h7888;45764;66580;71309;70650;67194;;h7888;0,309001425;0,090506899;0,03536319;0,061576784;0,056941601;;;
h7889;48209;67450;72934;71524;68717;;h7889;0,282321943;0,068506299;0,036155106;0,060617761;0,046670599;;;
h7890;52647;69700;75744;73485;70558;;h7890;0,276952905;0,073710258;0,038803932;0,060181841;0,045016598;;;
h7891;53303;69405;74825;72748;69062;;h7891;0,282636794;0,082003599;0,047119061;0,060094657;0,040470986;;;
h7892;52473;67729;72591;70879;67472;;h7892;0,28735956;0,083218356;0,051228837;0,064366671;0,035682478;;;
h7893;50099;63657;68233;66900;63470;;h7893;0,287409273;0,082033593;0,053864009;0,073060157;0,032189412;;;
h7894;48200;60289;64271;63077;59862;;h7894;0,284260763;0,076019796;0,057018023;0,076784157;0,030142152;;;
h7895;47700;57390;60787;60296;57339;;h7895;0,270805024;0,067306539;0,060991262;0,08238884;0,02852285;;;
h7896;44299;53019;55825;55600;52812;;h7896;0,26116064;0,063482304;0,06084107;0,083073857;0,0276091;;;
h7897;40810;49857;52233;51832;49206;;h7897;0,232801603;0,056657521;0,062841157;0,084834601;0,026625953;;;
h7898;39029;47808;50042;49900;46820;;h7898;0,214050258;0,056477608;0,066525655;0,080688736;0,027053911;;;
h7899;38585;47098;49203;48809;45680;;h7899;0,193824645;0,052504535;0,07150655;0,074276964;0,025284245;;;
h7900;39743;47299;49722;48988;45154;;h7900;0,168497076;0,047856789;0,077019651;0,072446807;0,025619672;;;
h7901;42412;48633;51335;50360;45634;;h7901;0,152412662;0,045757807;0,084252183;0,075534418;0,027666933;;;
h7902;46581;51512;55228;53922;45673;;h7902;0,13540062;0,044198564;0,091457424;0,074501064;0,030859271;;;
h7903;56163;58974;63958;62405;47024;;h7903;0,12855936;0,043538884;0,099617904;0,071550404;0,032374475;;;
h7904;64597;65207;70976;69054;50601;;h7904;0,11815667;0,038951109;0,103070415;0,065512133;0,034144141;;;
h7905;66515;66457;72785;70728;54199;;h7905;0,114876841;0,044753295;0,109566048;0,060918066;0,03762564;;;
h7906;66957;66021;72752;70698;57258;;h7906;0,118206364;0,075503381;0,131004367;0,068599744;0,0483593;;;
h7907;68285;66677;73567;71105;58790;;h7907;0,121486193;0,112670355;0,155458515;0,076816773;0,061753241;;;
h7908;70031;67783;74421;71427;59466;;h7908;0,114131425;0,139447368;0,167699236;0,083141395;0,074221868;;;
h7909;69584;67400;73629;70724;58768;;h7909;0,097798539;0,138652753;0,170141921;0,088370414;0,083983946;;;
h7910;69308;67068;73117;70217;57113;;h7910;0,085871888;0,115473995;0,157928493;0,080726087;0,08566108;;;
h7911;68393;66216;72513;69535;55940;;h7911;0,072487535;0,076492901;0,129721616;0,061428518;0,083463456;;;
h7912;67953;66102;72499;69196;55802;;h7912;0,06324438;0,033493756;0,113960153;0,036105128;0,078339521;;;
h7913;68977;67403;73974;70371;57896;;h7913;0,068594809;0,013328536;0,123321507;0,02528604;0,083544421;;;
h7914;70940;70199;76504;72645;59964;;h7914;0,076264308;0,012443965;0,13474345;0,027489698;0,096649201;;;
h7915;69764;69540;75583;71739;59901;;h7915;0,075800494;0,011934212;0,137336245;0,031834763;0,110089409;;;
h7916;67617;67925;73326;70249;58378;;h7916;0,075767364;0,012114125;0,135739629;0,037873034;0,12211851;;;
h7917;63645;64004;69095;66461;55097;;h7917;0,073183256;0,012294037;0,130431223;0,048293721;0,130006824;;;
h7918;59663;60509;65206;62885;52140;;h7918;0,067418708;0,014542947;0,123689956;0,057071003;0,137316816;;;
h7919;56108;58049;61467;59693;50944;;h7919;0,071758684;0,019130722;0,118927402;0,062723323;0,148929526;;;
h7920;50893;53776;56499;55217;47538;;h7920;0,07285196;0,022399136;0,115365721;0,06756639;0,156239518;;;
h7921;46795;50504;52635;51751;44342;;h7921;0,067359571;0,025327459;0,109287829;0,074251512;0,16094706;;;
h7922;44947;48734;50431;49749;42216;;h7922;0,066846513;0,032431136;0,109151423;0,080124935;0,16322565;;;
h7923;44495;48204;49667;48690;41160;;h7923;0,062990302;0,038096094;0,10826479;0,08920883;0,162219369;;;
h7924;45071;48358;50013;48909;40949;;h7924;0,061219423;0,046263825;0,10931511;0,095953311;0,158865101;;;
h7925;47009;49417;51476;50304;41305;;h7925;0,059216842;0,056334862;0,110324508;0,100420597;0,154435153;;;
h7926;50485;52126;55092;53720;40814;;h7926;0,057959022;0,065911339;0,111934089;0,10124188;0,147969511;;;
h7927;59303;59526;63797;61897;40484;;h7927;0,057346662;0,070392351;0,116899237;0,105771384;0,144245116;;;
h7928;67059;66192;71006;68759;42347;;h7928;0,052712588;0,075547762;0,119190844;0,111769244;0,137594411;;;
h7929;69332;67958;72656;70550;45829;;h7929;0,050561054;0,092902317;0,128016259;0,122047734;0,135685948;;;
h7930;68942;67806;72608;70616;48971;;h7930;0,054897223;0,129020172;0,144603129;0,14050173;0,139780469;;;
h7931;69672;68298;73246;71044;51627;;h7931;0,06102082;0,16615712;0,162785939;0,159316592;0,150467863;;;
h7932;70662;69142;73854;70852;53624;;h7932;0,059763;0,202200042;0,175116967;0,177546602;0,155915657;;;
h7933;70267;69016;73132;70029;53132;;h7933;0,05097481;0,221218116;0,174885079;0,189480103;0,162751426;;;
h7934;70248;68576;72546;68686;51691;;h7934;0,046406938;0,212375985;0,160126038;0,178778527;0,155106006;;;
h7935;69752;67701;71880;67472;50370;;h7935;0,029889775;0,18599946;0,137059923;0,150357134;0,133014099;;;
h7936;69443;67919;71809;67013;49823;;h7936;0,015573798;0,153283578;0,124060509;0,124660909;0,106434412;;;
h7937;70174;69055;73543;68725;51816;;h7937;0,009582602;0,135059797;0,135791355;0,128580672;0,109765548;;;
h7938;72004;71721;76251;71352;55739;;h7938;0,009963258;0,140499955;0,155215452;0,146885344;0,128908012;;;
h7939;71435;71157;75325;70385;56706;;h7939;0,011154877;0,140814675;0,16674169;0,164791817;0,141087477;;;
h7940;69263;68557;73230;68465;55981;;h7940;0,012114793;0,137517609;0,161094515;0,176376895;0,158136415;;;
h7941;65737;64866;69168;64360;54143;;h7941;0,009715004;0,137277823;0,159103;0,18498793;0,167077275;;;
h7942;61539;62353;65332;61170;52162;;h7942;0,007116613;0,144366514;0,160207881;0,190040069;0,163480112;;;
h7943;57866;59791;61859;59115;51496;;h7943;0,006057396;0,1443815;0,164504645;0,18950499;0,161930208;;;
h7944;52514;55516;57000;54897;48122;;h7944;0,00630565;0,139720649;0,166332474;0,190562704;0,166660883;;;
h7945;48420;52000;53239;51424;45515;;h7945;0,00530833;0,138781134;0,160263402;0,198857769;0,172831655;;;
h7946;46511;49688;50928;49438;43962;;h7946;0,004514561;0,137478095;0,160304303;0,206709054;0,177098389;;;
h7947;45886;48529;50085;48245;43862;;h7947;0,004266508;0,13473722;0,171402083;0,216053453;0,174820485;;;
h7948;46817;48903;50519;47843;44471;;h7948;0,004597245;0,138945886;0,172151933;0,223867412;0,171328469;;;
h7949;48212;49952;52034;48006;46887;;h7949;0,005639067;0,14481705;0,182472596;0,228135226;0,168113965;;;
h7950;51498;53113;55789;47935;51181;;h7950;0,005572919;0,1502988;0,182554398;0,232203959;0,159071725;;;
h7951;60185;60549;64002;48895;60680;;h7951;0,006846257;0,149834499;0,192166112;0,239619754;0,153741198;;;
h7952;67886;66716;71286;52482;68002;;h7952;0,006895867;0,141686761;0,197360528;0,233771728;0,148248789;;;
h7953;69830;68527;73372;55877;70120;;h7953;0,00888029;0,140203993;0,207204014;0,24003036;0,152885538;;;
h7954;69609;68490;73471;59244;70055;;h7954;0,017694432;0,137043749;0,224327862;0,252037477;0,181769828;;;
h7955;70559;69667;74237;60624;69898;;h7955;0,030907377;0,155046655;0,240197415;0,262103547;0,21055005;;;
h7956;71666;70841;74511;61562;69806;;h7956;0,039208877;0,179864304;0,24610078;0,272965945;0,225211891;;;
h7957;70914;70566;73231;60848;69519;;h7957;0,04003572;0,192310573;0,242365163;0,286814568;0,220586705;;;
h7958;70515;70153;71941;59001;69751;;h7958;0,037687487;0,190213728;0,224423297;0,280568378;0,18715817;;;
h7959;69914;69589;70682;57469;68777;;h7959;0,032081494;0,181152366;0,201532421;0,258893354;0,132534718;;;
h7960;69844;69525;70370;56989;68143;;h7960;0,028492997;0,167433013;0,184981186;0,236446889;0,074962709;;;
h7961;70824;70099;72147;58958;69769;;h7961;0,033404442;0,157188431;0,174865027;0,229951847;0,053235896;;;
h7962;72141;71641;74572;62087;73018;;h7962;0,042119363;0,156065122;0,178723346;0,248292252;0,061734676;;;
h7963;71425;70596;73196;61808;72192;;h7963;0,044467596;0,160124013;0,178559743;0,275678433;0,067261774;;;
h7964;69188;69102;70830;59967;71062;;h7964;0,045658249;0,161996196;0,172697279;0,294105936;0,065076373;;;
h7965;64868;65307;66938;57017;66830;;h7965;0,044103785;0,161292255;0,176678301;0,31224726;0,061908121;;;
h7966;60676;62003;63349;54831;62957;;h7966;0,040101867;0,14694385;0,180100344;0,320422053;0,057259808;;;
h7967;57566;59244;60780;54089;60160;;h7967;0,045674786;0,138960864;0,187789715;0,326282522;0,053201207;;;
h7968;52526;54700;56804;51031;55641;;h7968;0,051677664;0,132820106;0,182077221;0,34273165;0,052715563;;;
h7969;48122;51214;53211;48195;52553;;h7969;0,073085751;0,123359423;0,172762593;0,353046573;0,054661228;;;
h7970;46191;48674;50779;45511;50605;;h7970;0,080004624;0,108124691;0,166409924;0,363125086;0,059191291;;;
h7971;45357;47514;49261;44395;49922;;h7971;0,089367394;0,096436749;0,159402904;0,366795655;0,06628685;;;
h7972;45471;47801;48884;44099;50107;;h7972;0,096236728;0,087936427;0,151564311;0,364867051;0,072827707;;;
h7973;46820;49159;48792;43987;50846;;h7973;0,106590267;0,078029362;0,144802672;0,360076646;0,079715253;;;
h7974;49608;51945;48812;43147;53843;;h7974;0,110090986;0,080573472;0,140631177;0,3552738;0,08666058;;;
h7975;57743;59025;50086;42594;62130;;h7975;0,118859294;0,082593795;0,141353691;0,355062275;0,093363226;;;
h7976;65469;66039;53877;44756;68947;;h7976;0,127099193;0,088864279;0,140344898;0,347061678;0,099730739;;;
h7977;67495;68584;57675;48337;71051;;h7977;0,125200218;0,102258272;0,137891078;0,349015168;0,124669201;;;
h7978;67339;68804;60917;52237;70723;;h7978;0,132201655;0,123793418;0,141203735;0,352835048;0,173806525;;;
h7979;68165;69502;62766;55257;70484;;h7979;0,140705758;0,150416785;0,144489128;0,354477473;0,217084812;;;
h7980;69030;70212;63513;57985;70601;;h7980;0,160768837;0,188294099;0,145402495;0,360686334;0,241618804;;;
h7981;68552;69835;62625;57938;69907;;h7981;0,168232633;0,222879035;0,141244632;0,365140788;0,242358407;;;
h7982;68388;69070;60749;56485;69335;;h7982;0,169091299;0,245865821;0,132083703;0,365762919;0,215536269;;;
h7983;67819;68484;59596;55358;68800;;h7983;0,158704734;0,25720956;0,120796128;0,356617601;0,166410502;;;
h7984;67972;68593;59672;55462;68797;;h7984;0,150085041;0,258900645;0,110217436;0,353805572;0,11412987;;;
h7985;68749;69925;62056;57527;70412;;h7985;0,139434271;0,273910896;0,112521301;0,359205664;0,10221534;;;
h7986;70182;70799;64554;60500;73835;;h7986;0,134959296;0,281558193;0,111648831;0,370976371;0,121549004;;;
h7987;68886;69618;64068;61111;73488;;h7987;0,129939398;0,276559764;0,105650603;0,376189824;0,138767869;;;
h7988;66404;67473;61812;59034;72511;;h7988;0,123945243;0,269271636;0,095344557;0,378877428;0,149457432;;;
h7989;62413;63343;58195;56924;68371;;h7989;0,115705345;0,254800138;0,089946152;0,396956538;0,158193984;;;
h7990;58782;60269;55807;56189;64936;;h7990;0,104377549;0,232292243;0,08847386;0,402095335;0,166121595;;;
h7991;55936;58570;54707;55809;62162;;h7991;0,094601958;0,219242454;0,088446595;0,383008374;0,169969838;;;
h7992;51269;54669;51270;51725;57690;;h7992;0,089449958;0,20981428;0,090791357;0,37111324;0,177932118;;;
h7993;47532;50843;47799;47457;54158;;h7993;0,083300382;0,189331858;0,086547763;0,354284577;0,186581042;;;
h7994;45735;48430;45587;45579;51984;;h7994;0,079099117;0,178804283;0,081342907;0,359558668;0,193106873;;;
h7995;44960;46833;44316;45154;51383;;h7995;0,071042573;0,163835387;0,079367242;0,363427164;0,199621155;;;
h7996;45563;46656;43816;46128;51599;;h7996;0,064617108;0,154234956;0,075920047;0,367370293;0,205188325;;;
h7997;46831;46421;43845;48105;52591;;h7997;0,058422301;0,139071659;0,077023694;0,36560397;0,207267351;;;
h7998;49846;45982;43635;52450;55505;;h7998;0,053743245;0,126300993;0,079885003;0,351809237;0,210963398;;;
h7999;58014;47013;43316;61761;63993;;h7999;0,051733228;0,11870439;0,0834412;0,350254375;0,218713545;;;
h8000;65556;50140;45353;68953;70808;;h8000;0,045604323;0,106576744;0,086697641;0,347791474;0,223437554;;;
h8001;67695;53322;49059;71390;72589;;h8001;0,043034137;0,100864338;0,096766722;0,336795492;0,235010799;;;
h8002;67549;56059;53005;71674;72377;;h8002;0,048487544;0,097245484;0,103674737;0,332504074;0,27252567;;;
