;d;renewable
h933;58267;0.227965977
h934;55609;0.215310163
h935;54683;0.208271007
h936;51079;0.214606247
h937;47558;0.219108374
h938;45442;0.230151049
h939;44406;0.243994721
h940;44257;0.24880481
h941;44526;0.257427775
h942;44297;0.267121279
h943;43889;0.283369996
h944;45675;0.27880921
h945;48960;0.2811116
h946;52535;0.312817129
h947;55344;0.367341252
h948;58134;0.400601261
h949;57573;0.418477783
h950;55345;0.411629271
h951;53743;0.391802317
h952;53218;0.349758029
h953;53366;0.293092829
h954;57059;0.248423523
h955;61295;0.243466784
h956;60158;0.243466784
h957;57652;0.239551254
h958;56044;0.229989735
h959;56143;0.217627218
h960;52892;0.206540548
h961;50154;0.18957075
h962;48851;0.163153111
h963;48406;0.141148185
h964;49082;0.119832288
h965;50704;0.113191227
h966;54313;0.113557732
h967;63307;0.125725679
h968;70524;0.127426259
h969;72687;0.130636838
h970;73140;0.160675541
h971;73958;0.174324166
h972;74892;0.177021638
h973;74281;0.162390782
h974;73757;0.144798569
h975;72571;0.113645693
h976;71858;0.085014367
h977;70985;0.074547001
h978;73461;0.081686507
h979;75714;0.097226294
h980;74132;0.09854571
h981;69674;0.098135225
h982;66049;0.091670087
h983;63012;0.082346215
h984;57914;0.072084091
h985;54056;0.063451591
h986;51941;0.067525388
h987;51079;0.069532979
h988;51297;0.078618426
h989;52837;0.09693586
h990;56342;0.113993054
h991;64787;0.116147184
h992;71506;0.114799021
h993;73474;0.124924899
h994;73670;0.159801292
h995;74676;0.217611114
h996;75700;0.259330901
h997;74962;0.288272446
h998;74183;0.309037089
h999;72588;0.280417931
h1000;71446;0.226374174
h1001;70543;0.170659867
h1002;72674;0.133189725
h1003;76019;0.145381809
h1004;74572;0.165091367
h1005;70460;0.180741783
h1006;66981;0.185079351
h1007;63987;0.174997436
h1008;59018;0.169106549
h1009;55443;0.148707054
h1010;53307;0.131331038
h1011;52387;0.117397993
h1012;52657;0.107669768
h1013;54061;0.112870852
h1014;57525;0.122159549
h1015;65487;0.118628672
h1016;71721;0.114878031
h1017;73171;0.12576368
h1018;72978;0.166332137
h1019;73757;0.21804996
